name        y_n    ratio(x/y)    overlap_level    count    grey_std
/home/lxf/Downloads/soma_need_remove/1/marker_all_308.marker_color.txt     1   0.95   0.685526   912   2.59681
/home/lxf/Downloads/soma_need_remove/1/marker_all_319.marker_color.txt     1   0.846154   0.458042   131   2.38295
/home/lxf/Downloads/soma_need_remove/10/marker_all_13.marker_color.txt     1   0.777778   0.490079   431   9.70598
/home/lxf/Downloads/soma_need_remove/10/marker_all_15.marker_color.txt     1   0.833333   0.638542   1178   2.83901
/home/lxf/Downloads/soma_need_remove/10/marker_all_26.marker_color.txt     1   0.894737   0.611455   649   1.4899
/home/lxf/Downloads/soma_need_remove/10/marker_all_3.marker_color.txt     1   0.944444   0.658497   683   0.911275
/home/lxf/Downloads/soma_need_remove/10/marker_all_32.marker_color.txt     1   0.894737   0.5   478   0.703628
/home/lxf/Downloads/soma_need_remove/10/marker_all_33.marker_color.txt     1   0.9375   0.554167   537   0.930818
/home/lxf/Downloads/soma_need_remove/10/marker_all_39.marker_color.txt     1   0.857143   0.619048   772   1.42692
/home/lxf/Downloads/soma_need_remove/10/marker_all_416.marker_color.txt     1   0.888889   0.598958   473   0.933811
/home/lxf/Downloads/soma_need_remove/10/marker_all_43.marker_color.txt     1   0.956522   0.61166   1038   2.66531
/home/lxf/Downloads/soma_need_remove/10/marker_all_448.marker_color.txt     1   0.95   0.685526   912   2.59681
/home/lxf/Downloads/soma_need_remove/10/marker_all_450.marker_color.txt     1   0.789474   0.638596   487   1.76229
/home/lxf/Downloads/soma_need_remove/10/marker_all_454.marker_color.txt     1   0.944444   0.691176   554   3.12696
/home/lxf/Downloads/soma_need_remove/10/marker_all_56.marker_color.txt     1   0.85   0.651471   793   1.53055
/home/lxf/Downloads/soma_need_remove/11/marker_all_0.marker_color.txt     1   1   0.701183   286   0.631057
/home/lxf/Downloads/soma_need_remove/11/marker_all_1.marker_color.txt     1   0.941176   0.619485   428   0.97346
/home/lxf/Downloads/soma_need_remove/11/marker_all_2.marker_color.txt     1   1   0.606509   206   0.667219
/home/lxf/Downloads/soma_need_remove/11/marker_all_331.marker_color.txt     1   0.933333   0.535714   293   0.920339
/home/lxf/Downloads/soma_need_remove/11/marker_all_342.marker_color.txt     1   0.789474   0.489474   343   0.626589
/home/lxf/Downloads/soma_need_remove/11/marker_all_358.marker_color.txt     1   0.782609   0.667874   1248   5.56539
