name        y_n    ratio(x/y)    overlap_level    count    grey_std
/home/lxf/Downloads/signal_area/1/marker148.marker_color.txt     1   0.266667   0.333333   55   13.0858
/home/lxf/Downloads/signal_area/1/marker151.marker_color.txt     1   0.0882353   0.348039   105   11.4438
/home/lxf/Downloads/signal_area/1/marker25.marker_color.txt     1   1   0.2   12   7.50555
/home/lxf/Downloads/signal_area/1/marker26.marker_color.txt     1   0.75   0.34375   68   14.9676
/home/lxf/Downloads/signal_area/1/marker31.marker_color.txt     1   0.375   0.5   44   5.4807
/home/lxf/Downloads/signal_area/1/marker32.marker_color.txt     1   0.172414   0.172414   85   6.38784
/home/lxf/Downloads/signal_area/1/marker33.marker_color.txt     1   1   0.0765306   52   10.9484
/home/lxf/Downloads/signal_area/1/marker36.marker_color.txt     1   0.75   0.166667   7   4.14039
/home/lxf/Downloads/signal_area/1/marker38.marker_color.txt     1   0.533333   0.345833   89   17.4032
/home/lxf/Downloads/signal_area/1/marker67.marker_color.txt     1   0.444444   0.319444   69   6.59238
/home/lxf/Downloads/signal_area/1/marker68.marker_color.txt     1   0.117647   0.558824   43   11.0519
/home/lxf/Downloads/signal_area/1/marker69.marker_color.txt     1   1   0.291667   24   8.29702
/home/lxf/Downloads/signal_area/1/marker_all_130.marker_color.txt     1   0.888889   0.225694   150   10.1248
/home/lxf/Downloads/signal_area/1/marker_all_213.marker_color.txt     1   0.785714   0.188312   80   15.7
/home/lxf/Downloads/signal_area/1/marker_all_241.marker_color.txt     1   0.466667   0.266667   80   17.1818
/home/lxf/Downloads/signal_area/10/marker_all_291.marker_color.txt     1   0.888889   0.225694   150   10.1248
/home/lxf/Downloads/signal_area/10/marker_all_384.marker_color.txt     1   0.466667   0.266667   80   17.1818
/home/lxf/Downloads/signal_area/10/marker_all_389.marker_color.txt     1   0.923077   0.246795   120   15.3765
/home/lxf/Downloads/signal_area/10/marker_all_392.marker_color.txt     0   0.8   0.30625   87   12.5354
/home/lxf/Downloads/signal_area/11/marker_all_162.marker_color.txt     1   0.642857   0.380952   96   16.1147
/home/lxf/Downloads/signal_area/11/marker_all_164.marker_color.txt     1   0.733333   0.184848   88   10.6343
