
0661_seg.v3dpbd.tiff, 2390, 1258, 276, 
0663_seg.v3dpbd.tiff, 2111, 1267, 288, 
0664_seg.v3dpbd.tiff, 1098, 616, 330, 
080926a.tif.v3dpbd.tiff, 2048, 2048, 54, 
09-2902-04R-01C-60x_merge_c1.v3dpbd.tiff, 1024, 1024, 62, 
091201c1.tif.v3dpbd.tiff, 2048, 2048, 140, 
091202c2.tif.v3dpbd.tiff, 2048, 2048, 150, 
091204c2.tif.v3dpbd.tiff, 2048, 2048, 135, 
091226c2.tif.v3dpbd.tiff, 2048, 2048, 70, 
0965_seg.v3dpbd.tiff, 2025, 1524, 275, 
0970_seg.v3dpbd.tiff, 512, 512, 95, 
0984_seg.v3dpbd.tiff, 512, 512, 164, 
0986_seg.v3dpbd.tiff, 907, 560, 102, 
10-2900-control-cell-05.oif-C0.v3dpbd.tiff, 1024, 1024, 113, 
10-2909-s5-left-cell3_merge_c2.v3dpbd.tiff, 1024, 1024, 55, 
10-2912-s1-cell1_merge_c2.v3dpbd.tiff, 1024, 1024, 93, 
100108c3.tif.v3dpbd.tiff, 2048, 2048, 85, 
100110c4.tif.v3dpbd.tiff, 2048, 2048, 100, 
10_3dpf_Live_1-28-2010_5-20-37_PM_med_Red.tif_uint8.v3dpbd.tiff, 616, 452, 155, 
110203c3.tif.v3dpbd.tiff, 2048, 2048, 90, 
120111_05new_ch2.tif.v3dpbd.tiff, 2076, 5621, 170, 
1201_01_s06b_L36_Sum_ch2.tif.v3dpbd.tiff, 2715, 4011, 141, 
1201_01_s10mm_ch2.tif.v3dpbd.tiff, 2963, 4892, 116, 
12_3dpf_Live_1-28-2010_5-47-24_PM_med_Red.tif_uint8.v3dpbd.tiff, 732, 328, 122, 
140918c3.tif.v3dpbd.tiff, 1024, 1024, 37, 
140918c7.tif.v3dpbd.tiff, 1600, 1600, 38, 
140918c8.tif.v3dpbd.tiff, 800, 800, 31, 
140918c9.tif.v3dpbd.tiff, 1600, 1600, 50, 
140921c1.tif.v3dpbd.tiff, 1600, 1600, 37, 
140921c12.tif.v3dpbd.tiff, 1252, 1324, 45, 
140921c14.tif.v3dpbd.tiff, 800, 800, 33, 
140921c16.tif.v3dpbd.tiff, 1184, 1300, 30, 
140921c22.tif.v3dpbd.tiff, 1280, 1288, 30, 
140921c3.tif.v3dpbd.tiff, 800, 800, 36, 
140921c4.tif.v3dpbd.tiff, 724, 1024, 33, 
140921c5.tif.v3dpbd.tiff, 800, 800, 34, 
140921c6.tif.v3dpbd.tiff, 1600, 1600, 47, 
140921c9.tif.v3dpbd.tiff, 800, 800, 35, 
14_3dpf_Live_1-28-2010_6-16-41_PM_med_Red.tif_uint8.v3dpbd.tiff, 372, 508, 75, 
1_10_Ch2.tif_uint8.v3dpbd.tiff, 874, 860, 135, 
1_1_Live_2-2-2010_9-52-24_AM_med_Red.tif_uint8.v3dpbd.tiff, 664, 508, 161, 
1_2_Ch2.tif_uint8.v3dpbd.tiff, 848, 976, 60, 
1_3dpf_Live_1-28-2010_2-32-58_PM_med_Green.tif_uint8.v3dpbd.tiff, 728, 420, 105, 
1_5dpf_Live_1-30-2010_12-39-26_PM_med_Red.tif_uint8.v3dpbd.tiff, 844, 256, 118, 
1_6_Ch2.tif_uint8.v3dpbd.tiff, 762, 716, 89, 
1_8_Ch2.tif_uint8.v3dpbd.tiff, 700, 732, 165, 
1_9_Ch2.tif_uint8.v3dpbd.tiff, 520, 585, 179, 
1_a_Ch2.tif_uint8.v3dpbd.tiff, 864, 840, 71, 
1_CL-III_X_LifeActRuby_vpda_membrane-GFP_actin-LifeActRuby.czi-C_1.tif_uint8.v3dpbd.tiff, 2048, 2048, 22, 
1_CL-I_X_OREGON_R_ddaD_membrane-GFP.tif.v3dpbd.tiff, 2047, 890, 23, 
1_CL-I_X_OREGON_R_ddaE_membrane-GFP.tif.v3dpbd.tiff, 2045, 911, 23, 
2_CL-III_X_Myr-GFP_v'pda_MT-mCherry_membrane-GFP_A_1024.czi_C_1.tif.v3dpbd.tiff, 1024, 1024, 29, 
2_CL-I_Membrane-GFP_X_F-Actin-Red_ddaD_Membrane-GFP_F-Actin-Red.czi_C_1.tif.v3dpbd.tiff, 1018, 503, 29, 
2_CL-I_Membrane-GFP_X_F-Actin-Red_ddaE_Membrane-GFP_F-Actin-Red.czi_C_1.tif.v3dpbd.tiff, 1018, 543, 29, 
